Name;Birthday;Citizenship;Weight;Height;Link;Site
Садриддин Ахмедов;31 января 1998;Казахстан;;;https://www.sports.ru/tags/161115160/;https://www.sports.ru
Андре Уорд;23 февраля 1984;США;76;183;https://www.sports.ru/tags/4359427/;https://www.sports.ru
Гильермо Ригондо;30 сентября 1980;Куба;55;164;https://www.sports.ru/tags/3180305/;https://www.sports.ru
Альберт Батыргазиев;23 июня 1998;Россия;;;https://www.sports.ru/tags/161121297/;https://www.sports.ru
Джордж Камбосос-младший;14 июня 1993;Австралия;;;https://www.sports.ru/george-kambosos-jnr/;https://www.sports.ru
Муроджон Ахмадалиев;2 ноября 1994;Узбекистан;;165;https://www.sports.ru/tags/161051806/;https://www.sports.ru
Шакур Стивенсон;28 июня 1997;США;;173;https://www.sports.ru/shakur-stevenson/;https://www.sports.ru
Сейдж Норткатт;;;;;https://www.sports.ru/tags/161037497/;https://www.sports.ru
Энди Руис-младший;11 сентября 1989;США Мексика;120;188;https://www.sports.ru/andres-ruiz/;https://www.sports.ru
Энтони Ярд;13 августа 1991;Великобритания;79;183;https://www.sports.ru/anthony-yarde/;https://www.sports.ru
Тай Туиваса;16 марта 1993;Австралия;120;188;https://www.sports.ru/tai-tuivasa/;https://www.sports.ru
Джо Джойс;19 сентября 1985;Великобритания;;197;https://www.sports.ru/tags/161051893/;https://www.sports.ru
Шовхал Чурчаев;12 декабря 1998;Россия;70;185;https://www.sports.ru/shovkhal-churchaev/;https://www.sports.ru
Руслан Сариев;3 января 1997;Казахстан;61 кг;170 см;https://www.sports.ru/tags/161116141/;https://www.sports.ru
Джек Херманссон;10 июля 1988;Швеция Норвегия;84;185;https://www.sports.ru/jack-hermansson/;https://www.sports.ru
Джермалл Чарло;19 мая 1990;США;72;183;https://www.sports.ru/tags/161087634/;https://www.sports.ru
Максим Новоселов;15 мая 1973;;;189;https://www.sports.ru/maxim-novoselov/;https://www.sports.ru
Самат «Кыргыз» Абдырахманов;;Кыргызстан;75;188;https://www.sports.ru/samat-kyrgyz-abdyrahmanov/;https://www.sports.ru
Сергей Морозов;14 июня 1989;Казахстан;61;168;https://www.sports.ru/sergey-morozov/;https://www.sports.ru
Марина Мохнаткина;12 мая 1988;Россия;66;168;https://www.sports.ru/tags/151352540/;https://www.sports.ru
Рустам Хабилов;4 ноября 1986;Россия;70;172;https://www.sports.ru/rustam-khabilov/;https://www.sports.ru
Дэвин Хэйни;17 ноября 1998;США;61;173;https://www.sports.ru/devin-haney/;https://www.sports.ru
Эктор Ломбард;2 февраля 1978;Куба Австралия;;178;https://www.sports.ru/tags/73693743/;https://www.sports.ru
Давид Лемье;22 декабря 1988;Канада;72;177;https://www.sports.ru/tags/56182507/;https://www.sports.ru
Олег Маскаев;2 марта 1969;Россия США;;191;https://www.sports.ru/tags/1045297/;https://www.sports.ru
Илия Топурия;21 января 1997;Грузия Испания;66;173;https://www.sports.ru/ilia-topuria/;https://www.sports.ru
Дрю Добер;19 октября 1988;США;70;173;https://www.sports.ru/drew-dober/;https://www.sports.ru
Хайме Мунгуйя;6 октября 1996;Мексика;;;https://www.sports.ru/tags/161078288/;https://www.sports.ru
Абубакар Нурмагомедов;13 ноября 1989;Россия;77;182;https://www.sports.ru/abubakar-nurmagomedov/;https://www.sports.ru
Артем Лобов;11 августа 1986;Россия Ирландия;66;175;https://www.sports.ru/artem-lobov/;https://www.sports.ru
Сергей Хандожко;19 мая 1992;Россия;77;185;https://www.sports.ru/sergey-khandozhko/;https://www.sports.ru
Рашид Магомедов;14 мая 1984;Россия;70;175;https://www.sports.ru/rashid-magomedov/;https://www.sports.ru
Матвей Коробов;7 января 1983;Россия;;180;https://www.sports.ru/tags/3473709/;https://www.sports.ru
Мухаммад Мокаев;30 июля 2000;Великобритания Россия;56;170;https://www.sports.ru/muhammad-mokaev/;https://www.sports.ru
Азизхан Чоршанбиев;3 декабря 1998;Россия;61;;https://www.sports.ru/azizkhan-chorshanbiev/;https://www.sports.ru
