Name;Birthday;Citizenship;Weight;Height;Link
Муратбек Касымбай;;Казахстан;65 кг;170 см;https://www.sports.ru/tags/161116130/
Брэндон Морено;7 декабря 1993;Мексика;57;170;https://www.sports.ru/brandon-moreno/
Эл Яквинта;30 апреля 1987;США;70;170;https://www.sports.ru/tags/161076871/
Гловер Тейшейра;28 октября 1979;Бразилия;93;188;https://www.sports.ru/glover-teixeira/
Адлан Амагов;30 октября 1986;Россия;77;187;https://www.sports.ru/tags/102375752/
Рой Нельсон;20 июня 1976;США;113;183;https://www.sports.ru/tags/69912778/
Лиана Джоджуа;22 марта 1995;Грузия Россия;61;162;https://www.sports.ru/tags/161094876/
Энтони Смит;26 июля 1988;США;84;193;https://www.sports.ru/anthony-smit/
Жанибек Алимханулы;1 апреля 1993;Казахстан;;182 см;https://www.sports.ru/tags/161116118/
Омари Ахмедов;12 октября 1987;Россия;;;https://www.sports.ru/omari-akhmedov/
Мэтт Митрион;15 июля 1978;США;115;190;https://www.sports.ru/tags/68880012/
Фрэнк Мир;24 мая 1979;США;115;190;https://www.sports.ru/tags/6154705/
Джош Барнетт;10 ноября 1977;США;113;192;https://www.sports.ru/tags/5423910/
Куат Хамитов;22 февраля 1988;Казахстан;70;172;https://www.sports.ru/tags/161107426/
Валентин Молдавский;6 февраля 1992;Россия Украина;107;185;https://www.sports.ru/valentin-moldavsky/
Яир Родригес;6 октября 1992;Мексика;66;180;https://www.sports.ru/rodrigues-yair/
Эдуард Вартанян;;Россия;70;177;https://www.sports.ru/eduard-vartanyan/
Александр Яковлев;18 июля 1984;Россия;77;186;https://www.sports.ru/tags/138594277/
Миша Алоян;23 августа 1988;Россия;;165;https://www.sports.ru/tags/6359131/
Дейвисон Фигейредо;18 декабря 1987;Бразилия;56;165;https://www.sports.ru/deiveson-figueiredo/
Эррол Спенс;3 марта 1990;США;69;177;https://www.sports.ru/errol-spence/
Вик Дарчинян;7 января 1976;Австралия Армения;;166;https://www.sports.ru/tags/1046174/
Рори Макдональд;22 июля 1989;Канада;77;183;https://www.sports.ru/rory-macdonald/
Бенсон Хендерсон;16 ноября 1983;США;70;175;https://www.sports.ru/benson-henderson/
Хуан Мануэль Маркес;23 августа 1973;Мексика;61;170;https://www.sports.ru/tags/1047337/
Эрик Моралес;1 сентября 1976;Мексика;;177;https://www.sports.ru/tags/1046104/
Мария Агапова;7 апреля 1997;Казахстан;;168 см;https://www.sports.ru/tags/161116127/
Чоршанбе Чоршанбиев;15 мая 1995;Таджикистан;82;178;https://www.sports.ru/chorshanbe-chorshanbiev/
Роман Копылов;4 мая 1991;Россия;84;183;https://www.sports.ru/roman-kopylov/
Данияр Елеусинов;13 марта 1991;Казахстан;;178;https://www.sports.ru/tags/161051512/
Диллиан Уайт;11 апреля 1988;Великобритания;;;https://www.sports.ru/dillian-whyte/
Григорий Дрозд;26 августа 1979;Россия;;186;https://www.sports.ru/grigoriy-drozd/
Зелемхан «Пулеметчик» Дукаев;;Россия;80;177;https://www.sports.ru/zelemhan-pulemetchik-dukaev/
Джабар Аскеров;24 января 1986;Россия;70 кг;171 см;https://www.sports.ru/tags/152759324/
Майкл Кьеза;7 декабря 1987;США;;185;https://www.sports.ru/michael-chiesa/
Андре Уорд;23 февраля 1984;США;76;183;https://www.sports.ru/tags/4359427/
Руслан Чагаев;19 октября 1978;Узбекистан;;185;https://www.sports.ru/tags/1045305/
Садриддин Ахмедов;31 января 1998;Казахстан;;;https://www.sports.ru/tags/161115160/
Энди Руис-младший;11 сентября 1989;США Мексика;120;188;https://www.sports.ru/andres-ruiz/
Гильермо Ригондо;30 сентября 1980;Куба;55;164;https://www.sports.ru/tags/3180305/
Альберт Батыргазиев;23 июня 1998;Россия;;;https://www.sports.ru/tags/161121297/
Джордж Камбосос-младший;14 июня 1993;Австралия;;;https://www.sports.ru/george-kambosos-jnr/
Муроджон Ахмадалиев;2 ноября 1994;Узбекистан;;165;https://www.sports.ru/tags/161051806/
Шакур Стивенсон;28 июня 1997;США;;173;https://www.sports.ru/shakur-stevenson/
Сейдж Норткатт;;;;;https://www.sports.ru/tags/161037497/
Энтони Ярд;13 августа 1991;Великобритания;79;183;https://www.sports.ru/anthony-yarde/
Тай Туиваса;16 марта 1993;Австралия;120;188;https://www.sports.ru/tai-tuivasa/
Джо Джойс;19 сентября 1985;Великобритания;;197;https://www.sports.ru/tags/161051893/
Шовхал Чурчаев;12 декабря 1998;Россия;70;185;https://www.sports.ru/shovkhal-churchaev/
Руслан Сариев;3 января 1997;Казахстан;61 кг;170 см;https://www.sports.ru/tags/161116141/
Джек Херманссон;10 июля 1988;Швеция Норвегия;84;185;https://www.sports.ru/jack-hermansson/
Джермалл Чарло;19 мая 1990;США;72;183;https://www.sports.ru/tags/161087634/
Максим Новоселов;15 мая 1973;;;189;https://www.sports.ru/maxim-novoselov/
Рустам Хабилов;4 ноября 1986;Россия;70;172;https://www.sports.ru/rustam-khabilov/
Самат «Кыргыз» Абдырахманов;;Кыргызстан;75;188;https://www.sports.ru/samat-kyrgyz-abdyrahmanov/
Сергей Морозов;14 июня 1989;Казахстан;61;168;https://www.sports.ru/sergey-morozov/
Марина Мохнаткина;12 мая 1988;Россия;66;168;https://www.sports.ru/tags/151352540/
Олег Маскаев;2 марта 1969;Россия США;;191;https://www.sports.ru/tags/1045297/
Дэвин Хэйни;17 ноября 1998;США;61;173;https://www.sports.ru/devin-haney/
Артем Лобов;11 августа 1986;Россия Ирландия;66;175;https://www.sports.ru/artem-lobov/
Рашид Магомедов;14 мая 1984;Россия;70;175;https://www.sports.ru/rashid-magomedov/
Эктор Ломбард;2 февраля 1978;Куба Австралия;;178;https://www.sports.ru/tags/73693743/
Давид Лемье;22 декабря 1988;Канада;72;177;https://www.sports.ru/tags/56182507/
Матвей Коробов;7 января 1983;Россия;;180;https://www.sports.ru/tags/3473709/
Илия Топурия;21 января 1997;Грузия Испания;66;173;https://www.sports.ru/ilia-topuria/
Дрю Добер;19 октября 1988;США;70;173;https://www.sports.ru/drew-dober/
Аскар Аскаров;9 октября 1992;Россия;56;167;https://www.sports.ru/askar-askarov/
Хайме Мунгуйя;6 октября 1996;Мексика;;;https://www.sports.ru/tags/161078288/
Абубакар Нурмагомедов;13 ноября 1989;Россия;77;182;https://www.sports.ru/abubakar-nurmagomedov/
Сергей Хандожко;19 мая 1992;Россия;77;185;https://www.sports.ru/sergey-khandozhko/
Мухаммад Мокаев;30 июля 2000;Великобритания Россия;56;170;https://www.sports.ru/muhammad-mokaev/
Азизхан Чоршанбиев;3 декабря 1998;Россия;61;;https://www.sports.ru/azizkhan-chorshanbiev/
Калеб Плант;8 июля 1992;США;76;185;https://www.sports.ru/tags/161088298/
Мераб Двалишвили;10 января 1991;Грузия;61;167;https://www.sports.ru/merab-dvalishvili/
Дэвид Туа;21 ноября 1972;Самоа;;178;https://www.sports.ru/tags/1045555/
Нариман Аббасов;;Азербайджан;70;172;https://www.sports.ru/nariman-abbasov/
Лендруш «Леко» Акопян;;Россия;82;171;https://www.sports.ru/lendrush-leko-akopyan/
Вирджил Ортис;25 марта 1998;США;;;https://www.sports.ru/tags/161108066/
Заур Абдуллаев;23 марта 1994;Россия;61;175;https://www.sports.ru/tags/161094797/
Меган Андерсон;11 февраля 1990;Австралия;66;183;https://www.sports.ru/tags/161077900/
Иван Редкач;11 марта 1986;Украина;;177;https://www.sports.ru/tags/154246164/
Квинтон Джексон;20 июня 1978;США;93;185;https://www.sports.ru/tags/6154726/
Антонио Родриго Ногейра;2 июня 1976;Бразилия;тяжелый (свыше 93 кг/206 фунтов);191выше 93 кг/206 фунтов);https://www.sports.ru/tags/5699767/
Шейн Мозли;7 сентября 1971;США;66;175;https://www.sports.ru/tags/1046014/
Масайоши Накатани;8 марта 1989;Япония;;;https://www.sports.ru/tags/161115556/
Нобухико Такада;12 апреля 1962;Япония;110;185;https://www.sports.ru/tags/161094841/
Евгений Градович;7 августа 1986;Россия;57 кг;170 см;https://www.sports.ru/tags/146936671/
Микки Рурк;16 сентября 1952;США;;180;https://www.sports.ru/tags/6319077/
Хасбик (Хасбулла Магомедов);27 января 2002;Россия;20;93;https://www.sports.ru/hasbik/
Александр Шаблий;18 апреля 1993;Россия;70;175;https://www.sports.ru/tags/161114927/
Заррух Адашев;29 июля 1992;Узбекистан;57;165;https://www.sports.ru/zarrukh-adashev/
Василий Левит;24 февраля 1988;Казахстан;;185;https://www.sports.ru/tags/161051282/
Денис Беринчик;5 мая 1988;Украина;;170;https://www.sports.ru/denys-berinchyk/
Серик Сапиев;16 ноября 1983;Казахстан;;179;https://www.sports.ru/tags/5375947/
Асхаб Тамаев;30 апреля 2001;Россия;91;178;https://www.sports.ru/ashab-tamaev/
Брайан Кастаньо;12 сентября 1989;Аргентина;;;https://www.sports.ru/tags/161117911/
Жасулан Акимжан;;Казахстан;65 кг;170 см;https://www.sports.ru/tags/161116120/
Юсуф Раисов;22 июня 1995;Россия;66;178;https://www.sports.ru/yusuf-raisov/
Роман Долидзе;15 июля 1988;Грузия Украина;84;191;https://www.sports.ru/tags/161088474/
Ричард Комми;10 марта 1987;Гана;61;175;https://www.sports.ru/tags/161086317/
Дерек Чисора;29 декабря 1983;Англия;;187;https://www.sports.ru/dereck-chisora/
Магомед Абдусаламов;25 марта 1981;Россия;120;187;https://www.sports.ru/tags/5569504/
Бейбут Шуменов;19 августа 1983;Казахстан;;188 см;https://www.sports.ru/tags/4505976/
Бенеил Дариуш;6 мая 1989;Иран;70;178;https://www.sports.ru/beneil-dariush/
Али Багов;2 декабря 1990;Россия;70;175;https://www.sports.ru/ali-bagov/
Эдуард Трояновский;30 мая 1980;Россия;62;175;https://www.sports.ru/tags/146936660/
Энтони Кролла;16 ноября 1986;Великобритания;61;174;https://www.sports.ru/tags/108054221/
Егор Мехонцев;14 ноября 1984;Россия;;184;https://www.sports.ru/yegor-mekhontsev/
Амир Хан;8 декабря 1986;Великобритания;61;178;https://www.sports.ru/amir-khan/
Мухамед «Киборг» Калмыков;;Россия;84;185;https://www.sports.ru/mukhamed-kalmykov/
Лиам Смит;27 июля 1988;Великобритания;69;176;https://www.sports.ru/liam-smith/
Кимбо Слайс;8 февраля 1974;США;106;188;https://www.sports.ru/tags/5840785/
Сергей Деревянченко;31 октября 1985;Украина;;186;https://www.sports.ru/sergey-derevyanchenko/
Хабиб Аллахвердиев;8 декабря 1982;Россия;;183;https://www.sports.ru/tags/3536004/
Гига Чикадзе;25 августа 1988;Грузия;66;183;https://www.sports.ru/giga-chikadze/
Шон Стриклэнд;27 февраля 1991;США;84;185;https://www.sports.ru/sean-strickland/
Максим Дадашев;30 сентября 1990;Россия;63;175;https://www.sports.ru/tags/161091159/
Даррен Тилл;24 декабря 1992;Англия;77;183;https://www.sports.ru/darren-till/
Стивен Томпсон;11 февраля 1983;США;;183;https://www.sports.ru/steven-thompson/
Илья Рольгейзер;;;;;https://www.sports.ru/tags/161056875/
Вячеслав Василевский;16 июня 1988;Россия;85;179;https://www.sports.ru/vyacheslav-vasilevsky/
Рэнди Кутюр;22 июня 1963;США;103;185;https://www.sports.ru/tags/6318358/
Рашад Эванс;25 сентября 1979;США;93;180;https://www.sports.ru/rashad-evans/
Йорденис Угас;14 июля 1986;Куба;;;https://www.sports.ru/tags/5368868/
Эдвин Валеро;3 декабря 1981;Венесуэла;;168;https://www.sports.ru/tags/2997708/
Анджей Голота;5 января 1968;Польша;109;193;https://www.sports.ru/tags/1045510/
